gene_id,gene_name,eggNOG_OGs,Description,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,accession,old_locus_tag,start,end,strand,gene_product,COG,operon
XNR_RS06930,helD,"COG3973@1|root,COG3973@2|Bacteria,2GK30@201174|Actinobacteria",DNA helicase,-,-,-,-,-,-,-,-,-,-,-,"AAA_19,UvrD_C_2,Viral_helicase1",NC_020990.1,XNR_1399,1671295,1673583,-,AAA family ATPase,"Replication, recombination and repair",Op1020
XNR_RS06935,XNR_RS06935,"COG1119@1|root,COG1119@2|Bacteria,2GIXX@201174|Actinobacteria",ABC transporter,-,3.6.3.34,ko:K02013,"ko02010,map02010",M00240,-,-,"ko00000,ko00001,ko00002,ko01000,ko02000",3.A.1.14,-,-,ABC_tran,NC_020990.1,XNR_1400,1673825,1674673,+,ATP-binding cassette domain-containing protein,Inorganic ion transport and metabolism,Op1021
XNR_RS06940,XNR_RS06940,"COG0498@1|root,COG0498@2|Bacteria,2GNZD@201174|Actinobacteria",Threonine synthase,-,4.2.3.1,ko:K01733,"ko00260,ko00750,ko01100,ko01110,ko01120,ko01230,map00260,map00750,map01100,map01110,map01120,map01230",M00018,"R01466,R05086","RC00017,RC00526","ko00000,ko00001,ko00002,ko01000",-,-,-,PALP,NC_020990.1,XNR_1401,1675035,1676255,+,pyridoxal-phosphate dependent enzyme,Amino acid transport and metabolism,Op1022
XNR_RS06945,XNR_RS06945,"COG0702@1|root,COG0702@2|Bacteria,2GK1A@201174|Actinobacteria",NmrA family,-,-,-,-,-,-,-,-,-,-,-,NmrA,NC_020990.1,XNR_1402,1676265,1677167,-,NmrA family NAD(P)-binding protein,Carbohydrate transport and metabolism,Op1023
XNR_RS06950,XNR_RS06950,"COG1309@1|root,COG1309@2|Bacteria,2HGMJ@201174|Actinobacteria",PFAM regulatory protein TetR,-,-,-,-,-,-,-,-,-,-,-,TetR_N,NC_020990.1,XNR_1403,1677296,1677874,+,TetR/AcrR family transcriptional regulator,Transcription,Op1024
XNR_RS06955,dctA,"COG1301@1|root,COG1301@2|Bacteria,2GK6U@201174|Actinobacteria",Belongs to the dicarboxylate amino acid cation symporter (DAACS) (TC 2.A.23) family,-,-,ko:K11103,"ko02020,map02020",-,-,-,"ko00000,ko00001,ko02000","2.A.23.1.3,2.A.23.1.6,2.A.23.1.7",-,-,SDF,NC_020990.1,XNR_1404,1678032,1679435,-,C4-dicarboxylate transporter DctA,Energy production and conversion,Op1025
XNR_RS06960,XNR_RS06960,"COG3290@1|root,COG3290@2|Bacteria,2GIRZ@201174|Actinobacteria",signal transduction histidine kinase regulating citrate malate metabolism,-,-,-,-,-,-,-,-,-,-,-,"HATPase_c,PAS,PAS_4,PAS_8,sCache_3_2",NC_020990.1,XNR_1405,1679714,1681378,+,sensor histidine kinase,Signal transduction mechanisms,Op1026
XNR_RS06965,XNR_RS06965,"COG4565@1|root,COG4565@2|Bacteria,2GMAN@201174|Actinobacteria",transcriptional regulatory protein,-,-,-,-,-,-,-,-,-,-,-,"HTH_11,HTH_IclR,Response_reg",NC_020990.1,XNR_1406,1681375,1682115,+,response regulator,Signal transduction mechanisms,Op1027
XNR_RS06970,pfkA,"COG0205@1|root,COG0205@2|Bacteria,2GK6W@201174|Actinobacteria","Catalyzes the phosphorylation of D-fructose 6-phosphate to fructose 1,6-bisphosphate by ATP, the first committing step of glycolysis","GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0016020,GO:0030312,GO:0044464,GO:0071944","2.7.1.11,2.7.1.90",ko:K21071,"ko00010,ko00030,ko00051,ko00052,ko00680,ko01100,ko01110,ko01120,ko01130,map00010,map00030,map00051,map00052,map00680,map01100,map01110,map01120,map01130",-,"R00756,R00764,R02073,R03236,R04779","RC00002,RC00017","ko00000,ko00001,ko01000",-,-,-,PFK,NC_020990.1,XNR_1407,1682206,1683231,-,ATP-dependent 6-phosphofructokinase,Carbohydrate transport and metabolism,Op1028
XNR_RS06975,pta,"COG0280@1|root,COG0857@1|root,COG0280@2|Bacteria,COG0857@2|Bacteria,2GJ5U@201174|Actinobacteria",belongs to the CobB CobQ family,"GO:0005575,GO:0005576",2.3.1.8,ko:K13788,"ko00430,ko00620,ko00640,ko00680,ko00720,ko01100,ko01120,ko01200,map00430,map00620,map00640,map00680,map00720,map01100,map01120,map01200","M00357,M00579","R00230,R00921","RC00004,RC02746,RC02816","ko00000,ko00001,ko00002,ko01000",-,-,-,"AAA_26,DRTGG,PTA_PTB",NC_020990.1,XNR_1408,1683637,1685712,+,phosphate acetyltransferase,Energy production and conversion,Op1029
XNR_RS06980,ackA,"COG0282@1|root,COG0282@2|Bacteria,2GJAW@201174|Actinobacteria",Catalyzes the formation of acetyl phosphate from acetate and ATP. Can also catalyze the reverse reaction,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",2.7.2.1,ko:K00925,"ko00430,ko00620,ko00640,ko00680,ko00720,ko01100,ko01120,ko01200,map00430,map00620,map00640,map00680,map00720,map01100,map01120,map01200","M00357,M00579","R00315,R01353","RC00002,RC00043","ko00000,ko00001,ko00002,ko01000",-,-,iNJ661.Rv0409,Acetate_kinase,NC_020990.1,XNR_1409,1685754,1687031,+,acetate kinase,Energy production and conversion,Op1029
XNR_RS06985,pyk,"COG0469@1|root,COG0469@2|Bacteria,2GJY8@201174|Actinobacteria",Belongs to the pyruvate kinase family,"GO:0003674,GO:0003824,GO:0004743,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0005975,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0016020,GO:0016052,GO:0016053,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017144,GO:0018130,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019752,GO:0032787,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0040007,GO:0042866,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044270,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046031,GO:0046034,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046939,GO:0051186,GO:0051188,GO:0055086,GO:0071704,GO:0071944,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0090407,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901564,GO:1901566,GO:1901575,GO:1901576",2.7.1.40,ko:K00873,"ko00010,ko00230,ko00620,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,ko04922,ko04930,ko05165,ko05203,ko05230,map00010,map00230,map00620,map01100,map01110,map01120,map01130,map01200,map01230,map04922,map04930,map05165,map05203,map05230","M00001,M00002,M00049,M00050","R00200,R00430,R01138,R01858,R02320","RC00002,RC00015","ko00000,ko00001,ko00002,ko01000,ko04131,ko04147",-,-,-,"PK,PK_C",NC_020990.1,XNR_1410,1687105,1688529,+,pyruvate kinase,Carbohydrate transport and metabolism,Op1029
XNR_RS30710,XNR_RS30710,"2ESGS@1|root,33K1G@2|Bacteria,2GMFT@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_1411,1688662,1689993,-,hypothetical protein,-,Op1030
XNR_RS06995,XNR_RS06995,"COG3247@1|root,COG3247@2|Bacteria,2II4W@201174|Actinobacteria",response to pH,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_1412,1689983,1690573,-,DUF6114 domain-containing protein,Function unknown,Op1030
XNR_RS07000,XNR_RS07000,"2AD1W@1|root,312Q2@2|Bacteria,2GNNN@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_1413,1690704,1691336,-,DUF6230 family protein,-,Op1031
XNR_RS07010,ybbN,"COG3118@1|root,COG3118@2|Bacteria,2GJ7B@201174|Actinobacteria",Thioredoxin,"GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0016020,GO:0030312,GO:0044464,GO:0071944",-,ko:K05838,-,-,-,-,"ko00000,ko03110",-,-,-,"TPR_19,TPR_20,Thioredoxin",NC_020990.1,XNR_1414,1691972,1692946,-,tetratricopeptide repeat protein,"Posttranslational modification, protein turnover, chaperones",Op1032
XNR_RS07015,XNR_RS07015,"COG1309@1|root,COG1309@2|Bacteria,2GNK4@201174|Actinobacteria",Transcriptional regulator,-,-,-,-,-,-,-,-,-,-,-,"TetR_C_11,TetR_N",NC_020990.1,XNR_1415,1693199,1693819,+,TetR/AcrR family transcriptional regulator,Transcription,Op1033
XNR_RS07020,XNR_RS07020,"2E9NY@1|root,333VD@2|Bacteria,2GRQZ@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_1416,1693897,1694145,+,hypothetical protein,-,Op1034
XNR_RS07025,icmA,"COG1884@1|root,COG1884@2|Bacteria,2GM65@201174|Actinobacteria","Catalyzes the reversible interconversion of isobutyryl- CoA and n-butyryl-CoA, using radical chemistry. Also exhibits GTPase activity, associated with its G-protein domain (MeaI) that functions as a chaperone that assists cofactor delivery and proper holo-enzyme assembly",-,5.4.99.2,ko:K01848,"ko00280,ko00630,ko00640,ko00720,ko01100,ko01120,ko01200,map00280,map00630,map00640,map00720,map01100,map01120,map01200","M00375,M00376,M00741",R00833,RC00395,"ko00000,ko00001,ko00002,ko01000",-,-,-,MM_CoA_mutase,NC_020990.1,XNR_1417,1694224,1695924,-,methylmalonyl-CoA mutase family protein,Lipid transport and metabolism,Op1035
XNR_RS07030,XNR_RS07030,"2E65S@1|root,330UF@2|Bacteria,2IMEQ@201174|Actinobacteria",membrane,"GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0008150,GO:0016020,GO:0016021,GO:0031224,GO:0031226,GO:0040007,GO:0044425,GO:0044459,GO:0044464,GO:0071944",-,-,-,-,-,-,-,-,-,-,DUF3817,NC_020990.1,XNR_1418,1696062,1696400,-,DUF3817 domain-containing protein,Function unknown,Op1036
XNR_RS07035,XNR_RS07035,"COG1846@1|root,COG1846@2|Bacteria,2GKZA@201174|Actinobacteria",Transcriptional regulator,-,-,-,-,-,-,-,-,-,-,-,"MarR,MarR_2",NC_020990.1,XNR_1419,1696475,1696987,-,MarR family transcriptional regulator,Transcription,Op1037
XNR_RS07040,XNR_RS07040,"COG5297@1|root,COG5297@2|Bacteria,2GK39@201174|Actinobacteria",Belongs to the glycosyl hydrolase family 6,-,3.2.1.4,ko:K01179,"ko00500,ko01100,map00500,map01100",-,"R06200,R11307,R11308",-,"ko00000,ko00001,ko01000",-,"GH5,GH9",-,Glyco_hydro_6,NC_020990.1,XNR_1420,1697272,1698309,+,glycoside hydrolase family 6 protein,Carbohydrate transport and metabolism,Op1038
XNR_RS07045,XNR_RS07045,"COG3055@1|root,COG3055@2|Bacteria,2GK14@201174|Actinobacteria",Domain of unknown function (DUF1929),-,-,-,-,-,-,-,-,-,-,-,"DUF1929,Kelch_2",NC_020990.1,XNR_1421,1698331,1700286,-,kelch motif-containing protein,"Secondary metabolites biosynthesis, transport and catabolism",Op1039
XNR_RS07050,XNR_RS07050,"COG1215@1|root,COG1215@2|Bacteria,2GKFI@201174|Actinobacteria",PFAM Glycosyl transferase family 2,-,-,-,-,-,-,-,-,-,-,-,"Glyco_trans_2_3,Glyco_transf_21",NC_020990.1,XNR_1422,1700290,1702080,-,cellulose synthase catalytic subunit,Cell wall/membrane/envelope biogenesis,Op1039
XNR_RS07055,XNR_RS07055,"2ATZ7@1|root,31JIX@2|Bacteria,2IJGJ@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_1423,1702321,1702875,+,hypothetical protein,-,Op1040
XNR_RS07060,XNR_RS07060,"2DUQW@1|root,33RTE@2|Bacteria,2I9WM@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,SUKH_6,NC_020990.1,XNR_1424,1702894,1703556,+,hypothetical protein,-,Op1040
XNR_RS07065,XNR_RS07065,"COG0011@1|root,COG0011@2|Bacteria,2IQ7E@201174|Actinobacteria",Thiamine-binding protein,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464",-,-,-,-,-,-,-,-,-,-,Thiamine_BP,NC_020990.1,XNR_1425,1703651,1703944,-,MTH1187 family thiamine-binding protein,Function unknown,Op1041
XNR_RS07070,XNR_RS07070,"2DRNM@1|root,33CDS@2|Bacteria,2IHUJ@201174|Actinobacteria",Domain of unknown function (DUF3817),-,-,-,-,-,-,-,-,-,-,-,DUF3817,NC_020990.1,XNR_1426,1703941,1704303,-,DUF3817 domain-containing protein,Function unknown,Op1041
XNR_RS07075,XNR_RS07075,"COG2013@1|root,COG2013@2|Bacteria,2GNEK@201174|Actinobacteria",Mitochondrial biogenesis AIM24,-,-,-,-,-,-,-,-,-,-,-,AIM24,NC_020990.1,XNR_1427,1704520,1705158,+,AIM24 family protein,Function unknown,Op1042
XNR_RS07080,XNR_RS07080,"COG2013@1|root,COG2013@2|Bacteria,2GMA8@201174|Actinobacteria",Mitochondrial biogenesis AIM24,-,-,-,-,-,-,-,-,-,-,-,AIM24,NC_020990.1,XNR_1428,1705158,1705808,+,AIM24 family protein,Function unknown,Op1042
XNR_RS07085,XNR_RS07085,"COG2013@1|root,COG2013@2|Bacteria,2GMD3@201174|Actinobacteria",Mitochondrial biogenesis AIM24,-,-,-,-,-,-,-,-,-,-,-,AIM24,NC_020990.1,XNR_1429,1705805,1706518,+,AIM24 family protein,Function unknown,Op1042
XNR_RS07090,XNR_RS07090,"COG1846@1|root,COG1846@2|Bacteria,2GP6A@201174|Actinobacteria",transcriptional regulator,-,-,-,-,-,-,-,-,-,-,-,MarR_2,NC_020990.1,XNR_1430,1706635,1707111,+,MarR family transcriptional regulator,Transcription,Op1043
XNR_RS07095,XNR_RS07095,"COG2388@1|root,COG2388@2|Bacteria,2GQNP@201174|Actinobacteria",acetyltransferase,-,-,ko:K06975,-,-,-,-,ko00000,-,-,-,Acetyltransf_CG,NC_020990.1,XNR_1431,1707168,1707509,+,GNAT family N-acetyltransferase,Function unknown,Op1044
XNR_RS07100,XNR_RS07100,"COG1335@1|root,COG1335@2|Bacteria,2GKZR@201174|Actinobacteria",isochorismatase hydrolase,-,-,-,-,-,-,-,-,-,-,-,Isochorismatase,NC_020990.1,XNR_1432,1707506,1708348,+,hydrolase,"Secondary metabolites biosynthesis, transport and catabolism",Op1044
XNR_RS07105,XNR_RS07105,"COG0642@1|root,COG2205@2|Bacteria,2GNUQ@201174|Actinobacteria",Histidine kinase,-,-,-,-,-,-,-,-,-,-,-,"HATPase_c,HisKA",NC_020990.1,XNR_1433,1708354,1709781,-,ATP-binding protein,Signal transduction mechanisms,Op1045
XNR_RS07110,XNR_RS07110,"COG0745@1|root,COG0745@2|Bacteria,2GMG9@201174|Actinobacteria",Response regulators consisting of a CheY-like receiver domain and a winged-helix DNA-binding domain,-,-,-,-,-,-,-,-,-,-,-,"Response_reg,Trans_reg_C",NC_020990.1,XNR_1434,1709778,1710443,-,response regulator transcription factor,Signal transduction mechanisms,Op1045
XNR_RS07115,XNR_RS07115,"2DRY1@1|root,33DMK@2|Bacteria,2I39I@201174|Actinobacteria",Peptidase propeptide and YPEB domain,-,-,-,-,-,-,-,-,-,-,-,PepSY,NC_020990.1,XNR_1435,1710564,1711244,+,PepSY domain-containing protein,Function unknown,Op1046
XNR_RS07120,XNR_RS07120,"2BNZE@1|root,32HPK@2|Bacteria,2GRJU@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_1436,1711400,1712245,+,lipoprotein,-,Op1047
XNR_RS07125,meaB,"COG1703@1|root,COG1703@2|Bacteria,2GME8@201174|Actinobacteria",LAO AO transport system ATPase,-,-,ko:K07588,-,-,-,-,"ko00000,ko01000",-,-,-,ArgK,NC_020990.1,XNR_1437,1712361,1713350,-,methylmalonyl Co-A mutase-associated GTPase MeaB,Amino acid transport and metabolism,Op1048
XNR_RS07130,fadA,"COG0183@1|root,COG0183@2|Bacteria,2GJAC@201174|Actinobacteria",Belongs to the thiolase family,-,2.3.1.9,ko:K00626,"ko00071,ko00072,ko00280,ko00310,ko00362,ko00380,ko00620,ko00630,ko00640,ko00650,ko00720,ko00900,ko01100,ko01110,ko01120,ko01130,ko01200,ko01212,ko02020,map00071,map00072,map00280,map00310,map00362,map00380,map00620,map00630,map00640,map00650,map00720,map00900,map01100,map01110,map01120,map01130,map01200,map01212,map02020","M00088,M00095,M00373,M00374,M00375","R00238,R01177","RC00004,RC00326","ko00000,ko00001,ko00002,ko01000,ko04147",-,-,-,"Thiolase_C,Thiolase_N",NC_020990.1,XNR_1438,1713440,1714642,-,acetyl-CoA C-acetyltransferase,Lipid transport and metabolism,Op1049
XNR_RS07135,mce,"COG0346@1|root,COG0346@2|Bacteria,2IIPR@201174|Actinobacteria",methylmalonyl-CoA epimerase,-,5.1.99.1,ko:K05606,"ko00280,ko00630,ko00640,ko00720,ko01100,ko01120,ko01200,map00280,map00630,map00640,map00720,map01100,map01120,map01200","M00373,M00375,M00376,M00741","R02765,R09979","RC00780,RC02739","ko00000,ko00001,ko00002,ko01000",-,-,-,Glyoxalase_4,NC_020990.1,XNR_1439,1714786,1715226,+,methylmalonyl-CoA epimerase,Amino acid transport and metabolism,Op1050
XNR_RS07145,abpS,"COG2268@1|root,COG2268@2|Bacteria,2GKTJ@201174|Actinobacteria",Cellulose-binding protein,-,-,-,-,-,-,-,-,-,-,-,DivIVA,NC_020990.1,XNR_1441,1719560,1720498,+,cellulose-binding protein,"Cell cycle control, cell division, chromosome partitioning",Op1052
XNR_RS07150,XNR_RS07150,"COG1131@1|root,COG1131@2|Bacteria,2GJDP@201174|Actinobacteria",ABC transporter,-,-,ko:K01990,-,M00254,-,-,"ko00000,ko00002,ko02000",3.A.1,-,-,ABC_tran,NC_020990.1,XNR_1442,1720623,1721642,+,ATP-binding cassette domain-containing protein,Defense mechanisms,Op1053
XNR_RS07155,XNR_RS07155,"COG1277@1|root,COG1277@2|Bacteria,2GJ2R@201174|Actinobacteria",transmembrane transport,-,-,ko:K01992,-,M00254,-,-,"ko00000,ko00002,ko02000",3.A.1,-,-,"ABC2_membrane_2,ABC2_membrane_4",NC_020990.1,XNR_1443,1721644,1722414,+,ABC transporter permease,Energy production and conversion,Op1053
XNR_RS07160,XNR_RS07160,"COG1131@1|root,COG1131@2|Bacteria,2GJDP@201174|Actinobacteria",ABC transporter,-,-,ko:K01990,-,M00254,-,-,"ko00000,ko00002,ko02000",3.A.1,-,-,ABC_tran,NC_020990.1,XNR_1444,1722707,1723789,+,ABC transporter ATP-binding protein,Defense mechanisms,Op1054
XNR_RS07165,XNR_RS07165,"COG3087@1|root,COG3087@2|Bacteria,2GKVZ@201174|Actinobacteria",Lytic transglycosylase with a strong preference for naked glycan strands that lack stem peptides,-,-,ko:K01992,-,M00254,-,-,"ko00000,ko00002,ko02000",3.A.1,-,-,"ABC2_membrane_2,ABC2_membrane_4",NC_020990.1,XNR_1445,1723786,1724622,+,ABC transporter permease subunit,"Cell cycle control, cell division, chromosome partitioning",Op1054
XNR_RS07170,XNR_RS07170,"2E3EP@1|root,32YDP@2|Bacteria,2GQST@201174|Actinobacteria",ATP- GTP-binding protein,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_1446,1724641,1724982,-,hypothetical protein,Function unknown,Op1055
XNR_RS07175,XNR_RS07175,"COG2141@1|root,COG2141@2|Bacteria,2GKCU@201174|Actinobacteria","COG2141 Coenzyme F420-dependent N5,N10-methylene tetrahydromethanopterin reductase and related flavin-dependent oxidoreductases",-,-,-,-,-,-,-,-,-,-,-,Bac_luciferase,NC_020990.1,XNR_1447,1725241,1726275,+,LLM class flavin-dependent oxidoreductase,Energy production and conversion,Op1056
XNR_RS07180,XNR_RS07180,"2A9XB@1|root,30Z5E@2|Bacteria,2IFFN@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_1448,1726370,1726762,-,SCO5389 family protein,-,Op1057
XNR_RS07185,nucS,"COG1637@1|root,COG1637@2|Bacteria,2GIYB@201174|Actinobacteria",Cleaves both 3' and 5' ssDNA extremities of branched DNA structures,-,-,ko:K07503,-,-,-,-,"ko00000,ko01000",-,-,-,NucS,NC_020990.1,XNR_1449,1726975,1727637,+,endonuclease NucS,"Replication, recombination and repair",Op1058
XNR_RS07190,XNR_RS07190,"COG3267@1|root,COG3267@2|Bacteria,2GMRH@201174|Actinobacteria","domain, Protein",-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_1450,1727896,1730313,-,ATP-binding protein,"Intracellular trafficking, secretion, and vesicular transport",Op1059
XNR_RS07195,XNR_RS07195,"COG1366@1|root,COG1366@2|Bacteria,2IKUF@201174|Actinobacteria",Belongs to the anti-sigma-factor antagonist family,-,-,-,-,-,-,-,-,-,-,-,STAS_2,NC_020990.1,XNR_1451,1730635,1730958,-,STAS domain-containing protein,Signal transduction mechanisms,Op1060
XNR_RS07200,hbd,"COG1250@1|root,COG1250@2|Bacteria,2GJBM@201174|Actinobacteria",3-hydroxyacyl-CoA dehydrogenase,-,1.1.1.157,ko:K00074,"ko00360,ko00362,ko00650,ko01100,ko01120,map00360,map00362,map00650,map01100,map01120",-,"R01976,R05576,R06941","RC00029,RC00117","ko00000,ko00001,ko01000",-,-,-,"3HCDH,3HCDH_N",NC_020990.1,XNR_1452,1731366,1732214,-,3-hydroxyacyl-CoA dehydrogenase family protein,Lipid transport and metabolism,Op1061
XNR_RS07205,yvqK,"COG2096@1|root,COG2096@2|Bacteria,2GMHN@201174|Actinobacteria",adenosyltransferase,-,2.5.1.17,ko:K00798,"ko00860,ko01100,map00860,map01100",M00122,"R01492,R05220,R07268",RC00533,"ko00000,ko00001,ko00002,ko01000",-,-,-,Cob_adeno_trans,NC_020990.1,XNR_1453,1732395,1732967,+,cob(I)yrinic acid a%2Cc-diamide adenosyltransferase,Function unknown,Op1062
XNR_RS07210,XNR_RS07210,"28NRE@1|root,32W8Z@2|Bacteria,2I82F@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_1454,1732993,1733622,-,hypothetical protein,-,Op1063
XNR_RS07215,chiS,"COG4585@1|root,COG4585@2|Bacteria,2GNWX@201174|Actinobacteria",Histidine kinase,-,-,-,-,-,-,-,-,-,-,-,HisKA_3,NC_020990.1,XNR_1455,1733821,1735086,+,histidine kinase,Signal transduction mechanisms,Op1064
XNR_RS07220,chiR,"COG2197@1|root,COG2197@2|Bacteria,2GN3A@201174|Actinobacteria",response regulator,-,-,-,-,-,-,-,-,-,-,-,"GerE,Response_reg",NC_020990.1,XNR_1456,1735093,1735740,+,response regulator transcription factor,Signal transduction mechanisms,Op1064
XNR_RS07225,chtA,"COG2755@1|root,COG3325@1|root,COG2755@2|Bacteria,COG3325@2|Bacteria,2GJGW@201174|Actinobacteria",Belongs to the glycosyl hydrolase 18 family,-,3.2.1.14,ko:K01183,"ko00520,ko01100,map00520,map01100",-,"R01206,R02334",RC00467,"ko00000,ko00001,ko01000",-,GH18,-,"CBM_2,Glyco_hydro_18,fn3",NC_020990.1,XNR_1457,1735895,1737763,+,glycosyl hydrolase family 18 protein,Carbohydrate transport and metabolism,Op1065
XNR_RS07230,chtA,"COG3325@1|root,COG3469@1|root,COG3325@2|Bacteria,COG3469@2|Bacteria,2GJGW@201174|Actinobacteria",Belongs to the glycosyl hydrolase 18 family,-,3.2.1.14,ko:K01183,"ko00520,ko01100,map00520,map01100",-,"R01206,R02334",RC00467,"ko00000,ko00001,ko01000",-,GH18,-,"CBM_2,Glyco_hydro_18,fn3",NC_020990.1,XNR_1458,1738038,1739924,+,glycoside hydrolase family 18 chitinase,Carbohydrate transport and metabolism,Op1066
XNR_RS07235,XNR_RS07235,"2E6YX@1|root,331I5@2|Bacteria,2IFIG@201174|Actinobacteria",Protein of unknown function (DUF2550),-,-,-,-,-,-,-,-,-,-,-,DUF2550,NC_020990.1,XNR_1459,1740065,1740511,-,DUF2550 domain-containing protein,Function unknown,Op1067
XNR_RS07240,atpC,"COG0355@1|root,COG0355@2|Bacteria,2IHNZ@201174|Actinobacteria",Produces ATP from ADP in the presence of a proton gradient across the membrane,"GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005886,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006753,GO:0006754,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008152,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0015672,GO:0015985,GO:0015986,GO:0016020,GO:0016469,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0030312,GO:0032991,GO:0033178,GO:0034220,GO:0034641,GO:0034654,GO:0040007,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044425,GO:0044464,GO:0045259,GO:0045261,GO:0046034,GO:0046390,GO:0046483,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:0072522,GO:0090407,GO:0098655,GO:0098660,GO:0098662,GO:0098796,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1902600",-,ko:K02114,"ko00190,ko00195,ko01100,map00190,map00195,map01100",M00157,-,-,"ko00000,ko00001,ko00002,ko00194",3.A.2.1,-,-,ATP-synt_DE_N,NC_020990.1,XNR_1460,1740639,1741013,-,F0F1 ATP synthase subunit epsilon,Energy production and conversion,Op1068
XNR_RS07245,atpD,"COG0055@1|root,COG0055@2|Bacteria,2GIY6@201174|Actinobacteria",Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits,"GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0040007,GO:0044424,GO:0044444,GO:0044464,GO:0071944",3.6.3.14,ko:K02112,"ko00190,ko00195,ko01100,map00190,map00195,map01100",M00157,-,-,"ko00000,ko00001,ko00002,ko00194,ko01000",3.A.2.1,-,-,"ATP-synt_ab,ATP-synt_ab_N",NC_020990.1,XNR_1461,1741168,1742610,-,F0F1 ATP synthase subunit beta,Energy production and conversion,Op1068
