locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,operon
XNR_RS04090,XNR_RS04090,NC_020990.1,XNR_0830,972879,973202,+,hypothetical protein,K,Op613
XNR_RS04095,XNR_RS04095,NC_020990.1,XNR_0831,973255,975636,-,phosphoketolase family protein,G,Op614
XNR_RS04100,XNR_RS04100,NC_020990.1,XNR_0832,975707,976477,-,ATP-binding protein,T,Op615
XNR_RS04105,XNR_RS04105,NC_020990.1,XNR_0833,976617,977090,-,DUF6328 family protein,-,Op616
XNR_RS04110,XNR_RS04110,NC_020990.1,XNR_0834,977318,977947,-,LUD domain-containing protein,S,Op617
XNR_RS04115,XNR_RS04115,NC_020990.1,XNR_0835,977944,979512,-,LutB/LldF family L-lactate oxidation iron-sulfur protein,C,Op617
XNR_RS04120,XNR_RS04120,NC_020990.1,XNR_0836,979509,980276,-,(Fe-S)-binding protein,C,Op617
XNR_RS04125,XNR_RS04125,NC_020990.1,XNR_0837,980488,982161,+,L-lactate permease,C,Op618
XNR_RS04130,XNR_RS04130,NC_020990.1,XNR_0838,982321,983064,-,FCD domain-containing protein,K,Op619
XNR_RS04135,XNR_RS04135,NC_020990.1,XNR_0839,983186,985522,-,pyruvate dehydrogenase E1,C,Op620
XNR_RS04140,XNR_RS04140,NC_020990.1,XNR_0840,985722,986219,+,Lrp/AsnC family transcriptional regulator,K,Op621
XNR_RS04145,XNR_RS04145,NC_020990.1,XNR_0841,986216,987046,+,endo alpha-1%2C4 polygalactosaminidase,S,Op621
XNR_RS04150,XNR_RS04150,NC_020990.1,XNR_0842,987259,987978,+,chitinase,S,Op622
XNR_RS04155,XNR_RS04155,NC_020990.1,XNR_0843,987988,988440,-,pyridoxamine 5'-phosphate oxidase family protein,K,Op623
XNR_RS04160,XNR_RS04160,NC_020990.1,XNR_0844,988658,989179,+,hypothetical protein,L,Op624
XNR_RS04165,XNR_RS04165,NC_020990.1,XNR_0845,989364,990077,+,response regulator transcription factor,T,Op625
XNR_RS04170,XNR_RS04170,NC_020990.1,XNR_0846,990114,991931,-,GAF domain-containing protein,T,Op626
XNR_RS04175,ctaD,NC_020990.1,XNR_0847,992412,994106,+,cytochrome c oxidase subunit I,C,Op456
XNR_RS04180,XNR_RS04180,NC_020990.1,XNR_0848,994163,994729,+,hypothetical protein,-,Op627
XNR_RS04185,rpmG,NC_020990.1,XNR_0849,994755,994919,+,50S ribosomal protein L33,J,Op627
XNR_RS04190,XNR_RS04190,NC_020990.1,XNR_0850,995058,995717,+,TetR family transcriptional regulator,K,Op628
XNR_RS04195,XNR_RS04195,NC_020990.1,XNR_0851,995970,997595,+,MDR family MFS transporter,E,Op629
XNR_RS04200,XNR_RS04200,NC_020990.1,XNR_0852,997854,998741,-,ABC transporter ATP-binding protein,H,Op630
XNR_RS04205,XNR_RS04205,NC_020990.1,XNR_0853,998738,999820,-,iron chelate uptake ABC transporter family permease subunit,P,Op630
XNR_RS04210,XNR_RS04210,NC_020990.1,XNR_0854,999817,1000857,-,iron chelate uptake ABC transporter family permease subunit,P,Op630
XNR_RS04215,XNR_RS04215,NC_020990.1,XNR_0855,1000874,1001917,-,iron-siderophore ABC transporter substrate-binding protein,P,Op630
XNR_RS04220,XNR_RS04220,NC_020990.1,XNR_0856,1002328,1002756,+,helix-turn-helix domain-containing protein,K,Op631
XNR_RS04225,XNR_RS04225,NC_020990.1,XNR_0857,1002779,1003327,-,Sodium/calcium exchanger membrane region,P,Op632
XNR_RS04230,XNR_RS04230,NC_020990.1,XNR_0858,1003488,1004087,-,helix-turn-helix transcriptional regulator,K,Op633
XNR_RS04235,XNR_RS04235,NC_020990.1,XNR_0859,1004138,1006009,-,ABC transporter ATP-binding protein,O,Op634
XNR_RS04240,XNR_RS04240,NC_020990.1,XNR_0860,1006009,1006839,-,ABC transporter permease,E,Op634
XNR_RS04245,XNR_RS04245,NC_020990.1,XNR_0861,1006836,1007864,-,ABC transporter permease,E,Op634
XNR_RS04250,XNR_RS04250,NC_020990.1,XNR_0862,1007861,1009948,-,prolyl oligopeptidase family serine peptidase,E,Op634
XNR_RS04255,XNR_RS04255,NC_020990.1,XNR_0863,1010040,1011662,-,ABC transporter substrate-binding protein,E,Op635
XNR_RS04260,XNR_RS04260,NC_020990.1,XNR_0864,1011920,1013371,-,amidase,J,Op636
XNR_RS04265,XNR_RS04265,NC_020990.1,XNR_0865,1013505,1014131,+,TetR/AcrR family transcriptional regulator,K,Op637
XNR_RS04270,XNR_RS04270,NC_020990.1,XNR_0866,1014190,1014960,-,class I SAM-dependent methyltransferase,H,Op638
XNR_RS04275,XNR_RS04275,NC_020990.1,XNR_0867,1015051,1016322,-,sulfite oxidase,V,Op639
XNR_RS04280,XNR_RS04280,NC_020990.1,XNR_0868,1016351,1017514,-,homoserine O-acetyltransferase,E,Op639
XNR_RS04285,XNR_RS04285,NC_020990.1,XNR_0869,1017529,1018866,-,bifunctional o-acetylhomoserine/o-acetylserine sulfhydrylase,E,Op639
XNR_RS04290,XNR_RS04290,NC_020990.1,XNR_0870,1019154,1020455,+,ATP-grasp domain-containing protein,E,Op640
XNR_RS04295,XNR_RS04295,NC_020990.1,XNR_0871,1020515,1022545,+,CocE/NonD family hydrolase,I,Op641
XNR_RS04300,XNR_RS04300,NC_020990.1,XNR_0872,1022555,1023973,-,MFS transporter,G,Op642
XNR_RS04305,XNR_RS04305,NC_020990.1,XNR_0873,1024030,1024761,+,TetR/AcrR family transcriptional regulator,K,Op643
XNR_RS04310,XNR_RS04310,NC_020990.1,XNR_0874,1024811,1026931,+,SDR family NAD(P)-dependent oxidoreductase,P,Op644
XNR_RS04315,XNR_RS04315,NC_020990.1,XNR_0875,1027236,1028930,+,alkaline phosphatase D family protein,P,Op645
XNR_RS04320,XNR_RS04320,NC_020990.1,XNR_0876,1029008,1029796,-,hypothetical protein,-,Op646
XNR_RS04325,XNR_RS04325,NC_020990.1,XNR_0877,1029944,1030393,-,PaaI family thioesterase,Q,Op647
XNR_RS04330,XNR_RS04330,NC_020990.1,XNR_0878,1030502,1031446,-,DMT family transporter,E,Op648
XNR_RS04335,XNR_RS04335,NC_020990.1,XNR_0879,1031537,1032757,-,erythromycin esterase family protein,S,Op649
XNR_RS04340,XNR_RS04340,NC_020990.1,XNR_0880,1032827,1033567,+,TioE family transcriptional regulator,K,Op650
XNR_RS04345,XNR_RS04345,NC_020990.1,XNR_0881,1033820,1034548,-,winged helix-turn-helix domain-containing protein,K,Op651
XNR_RS04350,XNR_RS04350,NC_020990.1,XNR_0882,1034632,1035183,-,hypothetical protein,-,Op652
XNR_RS04355,XNR_RS04355,NC_020990.1,XNR_0883,1035377,1036318,+,oxidoreductase,I,Op653
XNR_RS04360,XNR_RS04360,NC_020990.1,XNR_0884,1036419,1037396,-,PRC and DUF2382 domain-containing protein,S,Op654
XNR_RS04365,metE,NC_020990.1,XNR_0885,1037655,1039973,-,5-methyltetrahydropteroyltriglutamate--homocysteine S-methyltransferase,E,Op655
XNR_RS04370,XNR_RS04370,NC_020990.1,XNR_0886,1040481,1041767,-,MFS transporter,E,Op656
XNR_RS04375,XNR_RS04375,NC_020990.1,XNR_0887,1041855,1042835,+,winged helix-turn-helix domain-containing protein,K,Op657
XNR_RS04380,XNR_RS04380,NC_020990.1,XNR_0888,1042952,1044148,-,NAD(P)/FAD-dependent oxidoreductase,C,Op658
XNR_RS04390,XNR_RS04390,NC_020990.1,XNR_0889,1044805,1047006,+,discoidin domain-containing protein,G,Op659
XNR_RS04395,XNR_RS04395,NC_020990.1,XNR_0890,1047083,1049347,-,heavy metal translocating P-type ATPase,P,Op660
XNR_RS04400,XNR_RS04400,NC_020990.1,XNR_0891,1049528,1049716,+,hypothetical protein,X,Op661
XNR_RS04405,XNR_RS04405,NC_020990.1,XNR_0892,1049785,1051701,-,right-handed parallel beta-helix repeat-containing protein,S,Op662
XNR_RS04410,XNR_RS04410,NC_020990.1,XNR_0893,1051990,1053150,-,DUF839 domain-containing protein,G,Op663
XNR_RS04415,XNR_RS04415,NC_020990.1,XNR_0894,1053506,1055245,+,stealth family protein,M,Op664
XNR_RS04420,XNR_RS04420,NC_020990.1,XNR_0895,1055221,1055814,-,TetR family transcriptional regulator,K,Op665
XNR_RS04425,XNR_RS04425,NC_020990.1,XNR_0896,1055966,1057225,+,MFS transporter,G,Op666
XNR_RS04430,XNR_RS04430,NC_020990.1,XNR_0897,1057301,1060429,-,ThuA domain-containing protein,G,Op667
XNR_RS04435,XNR_RS04435,NC_020990.1,XNR_0898,1060578,1061450,-,sugar phosphate isomerase/epimerase,G,Op668
XNR_RS04440,XNR_RS04440,NC_020990.1,XNR_0899,1061447,1062658,-,substrate-binding domain-containing protein,G,Op668
XNR_RS04445,XNR_RS04445,NC_020990.1,XNR_0900,1062655,1063689,-,ABC transporter permease,G,Op668
XNR_RS04450,XNR_RS04450,NC_020990.1,XNR_0901,1063686,1064705,-,ABC transporter permease,G,Op668
XNR_RS04455,XNR_RS04455,NC_020990.1,XNR_0902,1064702,1066198,-,sugar ABC transporter ATP-binding protein,G,Op668
XNR_RS04460,XNR_RS04460,NC_020990.1,XNR_0903,1066366,1067562,+,ROK family transcriptional regulator,G,Op669
XNR_RS04465,XNR_RS04465,NC_020990.1,XNR_0904,1067769,1068770,+,asparaginase,E,Op670
XNR_RS04470,XNR_RS04470,NC_020990.1,XNR_0905,1068850,1069731,+,polysaccharide deacetylase,G,Op671
XNR_RS04475,XNR_RS04475,NC_020990.1,XNR_0906,1069747,1070520,-,SDR family oxidoreductase,I,Op672
XNR_RS04480,XNR_RS04480,NC_020990.1,XNR_0907,1070517,1070939,-,cupin domain-containing protein,I,Op672
XNR_RS04485,XNR_RS04485,NC_020990.1,XNR_0908,1070980,1071759,-,SDR family oxidoreductase,I,Op672
XNR_RS04490,XNR_RS04490,NC_020990.1,XNR_0909,1071756,1072268,-,cyclophilin-like fold protein,I,Op672
XNR_RS04495,XNR_RS04495,NC_020990.1,XNR_0910,1072265,1072930,-,SDR family NAD(P)-dependent oxidoreductase,S,Op672
XNR_RS04500,XNR_RS04500,NC_020990.1,XNR_0911,1072983,1073999,-,zinc-dependent alcohol dehydrogenase family protein,E,Op673
XNR_RS04505,XNR_RS04505,NC_020990.1,XNR_0912,1074146,1075033,+,helix-turn-helix transcriptional regulator,K,Op674
XNR_RS04510,XNR_RS04510,NC_020990.1,XNR_0913,1075064,1075855,-,SDR family oxidoreductase,I,Op675
XNR_RS04515,XNR_RS04515,NC_020990.1,XNR_0914,1075986,1076741,-,ATP nucleotide 3'-pyrophosphokinase,S,Op676
XNR_RS04520,XNR_RS04520,NC_020990.1,XNR_0915,1076846,1078360,-,hypothetical protein,-,Op677
XNR_RS04525,XNR_RS04525,NC_020990.1,XNR_0916,1078477,1078941,+,SRPBCC domain-containing protein,S,Op678
XNR_RS04530,XNR_RS04530,NC_020990.1,XNR_0917,1079098,1080228,+,glutathione-independent formaldehyde dehydrogenase,E,Op679
XNR_RS04535,XNR_RS04535,NC_020990.1,XNR_0918,1080255,1080641,+,hypothetical protein,-,Op679
XNR_RS04540,XNR_RS04540,NC_020990.1,,1080851,1082057,-,transposase,L,Op680
XNR_RS04545,XNR_RS04545,NC_020990.1,XNR_0919,1082063,1083166,-,isocitrate/isopropylmalate family dehydrogenase,C,Op680
XNR_RS04550,XNR_RS04550,NC_020990.1,XNR_0920,1083202,1083735,-,EF-hand domain-containing protein,D,Op680
XNR_RS04555,XNR_RS04555,NC_020990.1,XNR_0921,1083949,1085166,+,MFS transporter,E,Op681
XNR_RS04560,XNR_RS04560,NC_020990.1,XNR_0922,1085231,1086064,+,aldo/keto reductase,S,Op682
XNR_RS04565,XNR_RS04565,NC_020990.1,XNR_0923,1086085,1087311,-,lytic murein transglycosylase,M,Op683
XNR_RS04570,XNR_RS04570,NC_020990.1,XNR_0924,1087347,1088078,-,hypothetical protein,-,Op683
XNR_RS04575,XNR_RS04575,NC_020990.1,XNR_0925,1088123,1088668,-,nuclear transport factor 2 family protein,-,Op684
XNR_RS04580,XNR_RS04580,NC_020990.1,XNR_0926,1088695,1089342,-,nuclear transport factor 2 family protein,-,Op684
XNR_RS04585,XNR_RS04585,NC_020990.1,XNR_0927,1089342,1089887,-,hypothetical protein,-,Op684
XNR_RS04590,XNR_RS04590,NC_020990.1,XNR_0928,1089884,1091158,-,MlaD family protein,Q,Op684
XNR_RS04595,XNR_RS04595,NC_020990.1,XNR_0929,1091155,1092438,-,MCE family protein,Q,Op684
XNR_RS04600,XNR_RS04600,NC_020990.1,XNR_0930,1092435,1093460,-,MCE family protein,Q,Op684
XNR_RS04605,XNR_RS04605,NC_020990.1,XNR_0931,1093457,1094503,-,MCE family protein,Q,Op684
XNR_RS04610,XNR_RS04610,NC_020990.1,XNR_0932,1094500,1095555,-,MlaD family protein,Q,Op684
XNR_RS04615,XNR_RS04615,NC_020990.1,XNR_0933,1095552,1096805,-,MCE family protein,Q,Op684
XNR_RS04620,XNR_RS04620,NC_020990.1,XNR_0934,1096807,1097613,-,ABC transporter permease,Q,Op684
XNR_RS04625,XNR_RS04625,NC_020990.1,XNR_0935,1097621,1098385,-,ABC transporter permease,Q,Op684
XNR_RS04630,XNR_RS04630,NC_020990.1,XNR_0936,1098382,1099392,-,ATP-binding cassette domain-containing protein,Q,Op684
XNR_RS04635,XNR_RS04635,NC_020990.1,XNR_0937,1100149,1100784,+,hypothetical protein,-,Op685
XNR_RS04640,XNR_RS04640,NC_020990.1,XNR_0938,1100872,1101504,+,hypothetical protein,X,Op686
XNR_RS04645,XNR_RS04645,NC_020990.1,XNR_0939,1101548,1103089,+,hypothetical protein,-,Op687
XNR_RS04650,XNR_RS04650,NC_020990.1,XNR_0940,1103137,1104084,+,hypothetical protein,-,Op688
XNR_RS04655,XNR_RS04655,NC_020990.1,XNR_0941,1104309,1105520,+,helix-turn-helix domain-containing protein,Q,Op689
XNR_RS30735,XNR_RS30735,NC_020990.1,XNR_0942,1105688,1105840,+,hypothetical protein,X,Op690
XNR_RS31060,XNR_RS31060,NC_020990.1,,1106034,1106280,+,hypothetical protein,X,Op691
XNR_RS04660,XNR_RS04660,NC_020990.1,XNR_0943,1106644,1107213,+,SMI1/KNR4 family protein,-,Op692
XNR_RS04665,XNR_RS04665,NC_020990.1,XNR_0944,1107365,1108333,-,LysR substrate-binding domain-containing protein,K,Op693
XNR_RS04670,XNR_RS04670,NC_020990.1,XNR_0945,1108373,1109296,+,serine hydrolase,V,Op694
XNR_RS04675,XNR_RS04675,NC_020990.1,XNR_0946,1109443,1110396,+,MBL fold metallo-hydrolase,S,Op695
XNR_RS04680,XNR_RS04680,NC_020990.1,,1110708,1111082,-,DUF6518 family protein,-,Op696
XNR_RS04685,XNR_RS04685,NC_020990.1,XNR_0948,1111311,1111928,-,TetR/AcrR family transcriptional regulator,K,Op697
XNR_RS04690,XNR_RS04690,NC_020990.1,XNR_0949,1111995,1112900,+,oxidoreductase,I,Op698
XNR_RS04695,XNR_RS04695,NC_020990.1,XNR_0950,1112915,1113859,+,SDR family NAD(P)-dependent oxidoreductase,S,Op698
XNR_RS04700,XNR_RS04700,NC_020990.1,XNR_0951,1114055,1117795,-,CHAT domain-containing protein,K,Op699
XNR_RS04705,XNR_RS04705,NC_020990.1,XNR_0952,1118026,1118610,-,TerD family protein,T,Op700
XNR_RS04710,XNR_RS04710,NC_020990.1,XNR_0953,1118732,1119601,-,LLM class flavin-dependent oxidoreductase,C,Op701
XNR_RS04715,XNR_RS04715,NC_020990.1,XNR_0954,1119723,1121648,-,glycoside hydrolase family 15 protein,G,Op702
XNR_RS04720,XNR_RS04720,NC_020990.1,XNR_0955,1121959,1122744,-,SAM-dependent methyltransferase,Q,Op703
XNR_RS04725,XNR_RS04725,NC_020990.1,XNR_0956,1122912,1124363,-,WGR domain-containing protein,S,Op704
XNR_RS04730,XNR_RS04730,NC_020990.1,XNR_0957,1124533,1125033,+,nucleoside deaminase,F,Op705
XNR_RS04735,XNR_RS04735,NC_020990.1,XNR_0958,1125502,1126464,+,M28 family metallopeptidase,E,Op706
XNR_RS04740,XNR_RS04740,NC_020990.1,XNR_0959,1126653,1128101,+,glyceraldehyde-3-phosphate dehydrogenase,G,Op707
XNR_RS04755,XNR_RS04755,NC_020990.1,XNR_0960,1129455,1130885,-,nucleobase:cation symporter-2 family protein,F,Op708
XNR_RS04760,XNR_RS04760,NC_020990.1,XNR_0961,1130903,1132306,-,amidohydrolase,F,Op708
XNR_RS04765,XNR_RS04765,NC_020990.1,XNR_0962,1132401,1133414,-,isopenicillin N synthase family oxygenase,C,Op709
XNR_RS04770,urtA,NC_020990.1,XNR_0963,1133881,1135101,+,urea ABC transporter substrate-binding protein,E,Op710
XNR_RS04775,urtB,NC_020990.1,XNR_0964,1135154,1136050,+,urea ABC transporter permease subunit UrtB,E,Op710
XNR_RS04780,urtC,NC_020990.1,XNR_0965,1136047,1137201,+,urea ABC transporter permease subunit UrtC,E,Op710
XNR_RS04785,urtD,NC_020990.1,XNR_0966,1137198,1137992,+,urea ABC transporter ATP-binding protein UrtD,S,Op710
XNR_RS04790,XNR_RS04790,NC_020990.1,XNR_0967,1137989,1138687,+,ATP-binding cassette domain-containing protein,E,Op710
XNR_RS04795,XNR_RS04795,NC_020990.1,XNR_0968,1139018,1139779,+,DeoR/GlpR family DNA-binding transcription regulator,K,Op711
XNR_RS04800,XNR_RS04800,NC_020990.1,XNR_0969,1139902,1141269,+,sugar ABC transporter substrate-binding protein,G,Op712
XNR_RS04805,XNR_RS04805,NC_020990.1,XNR_0970,1141266,1142234,+,sugar ABC transporter permease,G,Op712
XNR_RS04810,XNR_RS04810,NC_020990.1,XNR_0971,1142231,1143097,+,carbohydrate ABC transporter permease,G,Op712
XNR_RS04815,XNR_RS04815,NC_020990.1,XNR_0972,1143094,1144089,+,zinc-dependent alcohol dehydrogenase family protein,E,Op712
XNR_RS04820,XNR_RS04820,NC_020990.1,XNR_0973,1144346,1145515,+,glycosyltransferase 87 family protein,S,Op713
XNR_RS04825,XNR_RS04825,NC_020990.1,XNR_0974,1145512,1146243,+,FkbM family methyltransferase,H,Op713
XNR_RS04830,XNR_RS04830,NC_020990.1,XNR_0975,1146289,1147443,+,glycosyltransferase family 4 protein,M,Op714
XNR_RS04835,XNR_RS04835,NC_020990.1,XNR_0976,1147504,1148169,-,response regulator transcription factor,T,Op715
XNR_RS04840,XNR_RS04840,NC_020990.1,XNR_0977,1148157,1149434,-,sensor domain-containing protein,T,Op715
XNR_RS04845,XNR_RS04845,NC_020990.1,XNR_0978,1149584,1150330,+,ABC transporter ATP-binding protein,V,Op716
XNR_RS04850,XNR_RS04850,NC_020990.1,XNR_0979,1150330,1152324,+,ABC transporter permease,V,Op716
XNR_RS04855,XNR_RS04855,NC_020990.1,XNR_0980,1152610,1153281,+,response regulator transcription factor,T,Op717
XNR_RS04860,XNR_RS04860,NC_020990.1,XNR_0981,1153300,1154673,+,histidine kinase,T,Op717
XNR_RS04865,XNR_RS04865,NC_020990.1,XNR_0982,1154805,1156145,+,serine hydrolase domain-containing protein,V,Op718
XNR_RS04870,XNR_RS04870,NC_020990.1,XNR_0983,1156316,1166554,+,non-ribosomal peptide synthetase,Q,Op719
XNR_RS04875,XNR_RS04875,NC_020990.1,XNR_0984,1166605,1166814,+,MbtH family protein,S,Op720
XNR_RS04880,XNR_RS04880,NC_020990.1,XNR_0985,1166967,1179422,+,non-ribosomal peptide synthetase,Q,Op720
XNR_RS04885,XNR_RS04885,NC_020990.1,XNR_0986,1179447,1180427,+,TauD/TfdA family dioxygenase,Q,Op720
XNR_RS04890,XNR_RS04890,NC_020990.1,XNR_0987,1180427,1181881,+,MFS transporter,E,Op720
XNR_RS04895,XNR_RS04895,NC_020990.1,XNR_0988,1181944,1183122,+,cytochrome P450,Q,Op721
XNR_RS04900,XNR_RS04900,NC_020990.1,XNR_0989,1183350,1183988,+,winged helix-turn-helix domain-containing protein,K,Op722
XNR_RS04905,XNR_RS04905,NC_020990.1,XNR_0990,1184007,1184744,+,alpha/beta fold hydrolase,Q,Op722
XNR_RS04910,XNR_RS04910,NC_020990.1,XNR_0991,1184831,1186162,+,erythromycin esterase family protein,S,Op723
XNR_RS04915,XNR_RS04915,NC_020990.1,XNR_0992,1186316,1187653,-,class I SAM-dependent RNA methyltransferase,J,Op724
XNR_RS04920,XNR_RS04920,NC_020990.1,XNR_0993,1187754,1189817,-,APC family permease,E,Op725
XNR_RS04925,XNR_RS04925,NC_020990.1,XNR_0994,1190294,1190965,+,TrkA family potassium uptake protein,P,Op726
XNR_RS04930,XNR_RS04930,NC_020990.1,XNR_0995,1190962,1191675,+,TrkA family potassium uptake protein,P,Op726
XNR_RS04935,XNR_RS04935,NC_020990.1,XNR_0996,1191748,1192518,-,DUF3159 domain-containing protein,S,Op727
XNR_RS04940,XNR_RS04940,NC_020990.1,XNR_0997,1192522,1192929,-,OB-fold nucleic acid binding domain-containing protein,K,Op727
XNR_RS04945,XNR_RS04945,NC_020990.1,XNR_0998,1192978,1193673,-,response regulator,T,Op728
XNR_RS04950,XNR_RS04950,NC_020990.1,XNR_0999,1193703,1196261,-,DUF4118 domain-containing protein,T,Op728
XNR_RS04955,XNR_RS04955,NC_020990.1,XNR_1000,1196284,1197027,-,ABC transporter ATP-binding protein,V,Op728
XNR_RS04960,XNR_RS04960,NC_020990.1,XNR_1001,1197096,1197887,-,SDR family NAD(P)-dependent oxidoreductase,I,Op729
XNR_RS04965,XNR_RS04965,NC_020990.1,XNR_1002,1197904,1198548,-,TetR/AcrR family transcriptional regulator,K,Op729
XNR_RS04970,XNR_RS04970,NC_020990.1,XNR_1003,1198734,1199498,-,DUF3710 domain-containing protein,S,Op730
XNR_RS04975,dut,NC_020990.1,XNR_1004,1199500,1200015,-,dUTP diphosphatase,F,Op730
XNR_RS04980,XNR_RS04980,NC_020990.1,XNR_1005,1200012,1200596,-,PaaI family thioesterase,Q,Op730
XNR_RS04985,XNR_RS04985,NC_020990.1,XNR_1006,1200654,1201112,+,DUF3093 domain-containing protein,S,Op731
XNR_RS04990,XNR_RS04990,NC_020990.1,XNR_1007,1201458,1202393,-,hypothetical protein,-,Op732
XNR_RS04995,XNR_RS04995,NC_020990.1,XNR_1008,1202406,1202702,-,DUF4193 domain-containing protein,S,Op732
XNR_RS05000,XNR_RS05000,NC_020990.1,XNR_1009,1203097,1204368,-,HAMP domain-containing sensor histidine kinase,T,Op733
XNR_RS05005,XNR_RS05005,NC_020990.1,XNR_1010,1204374,1205027,-,response regulator transcription factor,T,Op733
XNR_RS30740,XNR_RS30740,NC_020990.1,XNR_1011,1205351,1205527,+,hypothetical protein,-,Op734
XNR_RS05010,XNR_RS05010,NC_020990.1,XNR_1012,1205625,1206434,-,inositol monophosphatase family protein,G,Op735
XNR_RS05015,XNR_RS05015,NC_020990.1,XNR_1013,1206468,1207583,-,ferrochelatase,H,Op735
XNR_RS05020,XNR_RS05020,NC_020990.1,XNR_1014,1207703,1208977,+,MFS transporter,E,Op736
XNR_RS05025,XNR_RS05025,NC_020990.1,XNR_1015,1208904,1210253,+,FAD-binding protein,C,Op736
XNR_RS05030,XNR_RS05030,NC_020990.1,XNR_1016,1210273,1211457,-,hypothetical protein,-,Op737
XNR_RS05035,sepH,NC_020990.1,XNR_1017,1211935,1212969,+,septation protein SepH,S,Op738
XNR_RS05040,XNR_RS05040,NC_020990.1,XNR_1018,1213041,1213868,-,sulfurtransferase,P,Op739
XNR_RS05045,XNR_RS05045,NC_020990.1,XNR_1019,1214192,1214914,+,VOC family protein,S,Op740
XNR_RS05050,XNR_RS05050,NC_020990.1,XNR_1020,1214958,1216139,-,alkaline phosphatase family protein,S,Op741
XNR_RS05055,XNR_RS05055,NC_020990.1,XNR_1021,1216139,1216738,-,DUF5998 family protein,-,Op741
XNR_RS05060,XNR_RS05060,NC_020990.1,XNR_1022,1216811,1219690,-,bifunctional GNAT family N-acetyltransferase/acetate--CoA ligase family protein,C,Op742
XNR_RS05065,XNR_RS05065,NC_020990.1,XNR_1023,1219838,1220119,+,HPr family phosphocarrier protein,G,Op743
XNR_RS31525,XNR_RS31525,NC_020990.1,,1221425,1221553,-,hypothetical protein,X,Op744
XNR_RS05075,XNR_RS05075,NC_020990.1,XNR_1024,1221847,1222533,-,GntR family transcriptional regulator,K,Op745
XNR_RS05080,XNR_RS05080,NC_020990.1,XNR_1025,1222756,1223529,-,M23 family metallopeptidase,M,Op746
XNR_RS05085,XNR_RS05085,NC_020990.1,XNR_1026,1223941,1225308,-,pitrilysin family protein,S,Op747
XNR_RS05090,XNR_RS05090,NC_020990.1,XNR_1027,1225325,1226689,-,pitrilysin family protein,S,Op747
XNR_RS05095,XNR_RS05095,NC_020990.1,XNR_1028,1226887,1229334,+,DNA topoisomerase IV subunit A,L,Op748
XNR_RS05100,XNR_RS05100,NC_020990.1,XNR_1029,1229416,1230534,-,GTP-binding protein,S,Op749
XNR_RS05105,XNR_RS05105,NC_020990.1,XNR_1030,1230646,1232241,-,glycoside hydrolase family 13 protein,G,Op750
XNR_RS05110,XNR_RS05110,NC_020990.1,XNR_1031,1232279,1233154,-,carbohydrate ABC transporter permease,G,Op750
XNR_RS05115,XNR_RS05115,NC_020990.1,XNR_1032,1233165,1234127,-,sugar ABC transporter permease,G,Op750
XNR_RS05120,XNR_RS05120,NC_020990.1,XNR_1033,1234130,1235539,-,extracellular solute-binding protein,G,Op750
XNR_RS05125,XNR_RS05125,NC_020990.1,XNR_1034,1235735,1236760,-,LacI family DNA-binding transcriptional regulator,K,Op751
XNR_RS05130,XNR_RS05130,NC_020990.1,XNR_1035,1236868,1237776,+,sucrase ferredoxin,O,Op752
XNR_RS05135,XNR_RS05135,NC_020990.1,XNR_1036,1237796,1239388,-,cation acetate symporter,S,Op753
XNR_RS05140,XNR_RS05140,NC_020990.1,XNR_1037,1239385,1239873,-,DUF485 domain-containing protein,S,Op753
XNR_RS05145,XNR_RS05145,NC_020990.1,XNR_1038,1240109,1242172,-,AAA family ATPase,L,Op754
XNR_RS05150,XNR_RS05150,NC_020990.1,XNR_1039,1242239,1242877,-,TetR/AcrR family transcriptional regulator,K,Op755
XNR_RS05155,XNR_RS05155,NC_020990.1,XNR_1040,1243053,1245176,-,DNA topoisomerase IV subunit B,L,Op756
XNR_RS05160,XNR_RS05160,NC_020990.1,XNR_1041,1245609,1245836,+,hypothetical protein,-,Op757
XNR_RS05165,XNR_RS05165,NC_020990.1,XNR_1042,1246084,1246899,-,serine protease,O,Op758
XNR_RS05170,XNR_RS05170,NC_020990.1,XNR_1043,1247138,1248676,-,RNA polymerase sigma factor,K,Op759
XNR_RS05175,XNR_RS05175,NC_020990.1,XNR_1044,1249413,1250300,-,FadR/GntR family transcriptional regulator,K,Op760
XNR_RS05180,XNR_RS05180,NC_020990.1,XNR_1045,1250763,1251527,-,NUDIX hydrolase,F,Op761
XNR_RS05185,XNR_RS05185,NC_020990.1,XNR_1046,1251694,1252269,-,dihydrofolate reductase family protein,H,Op762
XNR_RS05190,XNR_RS05190,NC_020990.1,XNR_1048,1253340,1254869,-,DUF4192 domain-containing protein,S,Op763
XNR_RS05195,XNR_RS05195,NC_020990.1,XNR_1049,1255032,1257194,+,RecQ family ATP-dependent DNA helicase,L,Op764
XNR_RS05200,XNR_RS05200,NC_020990.1,XNR_1050,1257412,1258020,+,hypothetical protein,-,Op765
XNR_RS05205,XNR_RS05205,NC_020990.1,XNR_1051,1258132,1258749,-,hypothetical protein,L,Op766
XNR_RS05210,XNR_RS05210,NC_020990.1,XNR_1052,1258816,1259517,-,ribonuclease HII,L,Op767
XNR_RS05215,XNR_RS05215,NC_020990.1,XNR_1053,1259933,1261750,-,DUF4173 domain-containing protein,T,Op768
