sequence_ID,score,locus_tag,gene_name,PFAMs,start,end,strand,gene_product,COG,operon,family,conserved,Orthogroup,eggNOG_OGs,comments
WP_015507386.1,0.9877,XNR_RS12205,XNR_RS12205,"Gp49,HTH_3,HTH_31",2841802,2842119,-,helix-turn-helix transcriptional regulator,Transcription,Op1834,HTH,N4,OG0003622,2IM96,
WP_015506927.1,0.9724,XNR_RS04305,XNR_RS04305,TetR_N,1024030,1024761,+,TetR/AcrR family transcriptional regulator,Transcription,Op643,TetR,N2,OG0000112,2IIND,
WP_015506825.1,0.9056,XNR_RS02595,XNR_RS02595,HTH_18,622742,623530,+,AraC family transcriptional regulator,Transcription,Op395,AraC,N4,OG0000088,2IBA6,
WP_003950821.1,0.9999,XNR_RS07545,cseB,"Response_reg,Trans_reg_C",1806774,1807514,+,response regulator transcription factor,Signal transduction mechanisms,Op1106,OmpR,N0,OG0000006,2GJE6,
WP_003948375.1,0.9994,XNR_RS19795,afsQ1,"Response_reg,Trans_reg_C",4541654,4542331,-,two-component system response regulator AfsQ1,Signal transduction mechanisms,Op2986,OmpR,N6,OG0000006,2GJRR,
WP_003950455.1,0.9989,XNR_RS09390,mtrA,"Response_reg,Trans_reg_C",2236621,2237298,-,two-component system response regulator MtrA,Signal transduction mechanisms,Op1392,OmpR,N6,OG0000006,2GJE6,
WP_003947062.1,0.9986,XNR_RS26430,yebC,Transcrip_reg,6032690,6033442,+,YebC/PmpR family DNA-binding transcriptional regulator,Transcription,Op3988,YebC/PmpR,N6,OG0000530,2GJ4G,
WP_003950432.1,0.998,XNR_RS09520,whiB2,Whib,2271410,2271673,-,WhiB family transcriptional regulator,Transcription,Op1408,WhiB,N6,OG0001632,2IQ4Q,sporulation regulator in Sco
WP_003951558.1,0.993,XNR_RS03870,murA,"EPSP_synthase,HTH_3",923125,924654,+,UDP-N-acetylglucosamine 1-carboxyvinyltransferase,Cell wall/membrane/envelope biogenesis,Op588,None,N6,OG0006145,2GJPW,
WP_003948537.1,0.8756,XNR_RS18980,tcsR3,"GerE,Response_reg",4358218,4358925,+,response regulator transcription factor,Signal transduction mechanisms,Op2859,GerE,N6,OG0005857,2GIVA,
WP_003947370.1,0.7397,XNR_RS24830,sixA,His_Phos_1,5694304,5694858,+,histidine phosphatase family protein,Signal transduction mechanisms,Op3746,SixA,N6,OG0000981,2GJ0I,
WP_226660347.1,,XNR_RS11090,afsR,"BTAD,NB-ARC,TPR_10,TPR_12,Trans_reg_C",2611233,2614109,+,BTAD domain-containing putative transcriptional regulator,Transcription,Op1656,AfsR,N6,OG0001370,2GIRS,Pleiotropic regulator
WP_003948128.1,,XNR_RS21030,XNR_RS21030,AAA_16,4819767,4821608,-,hypothetical protein,Transcription,Op3182,SARP,unknown,OG0005811,2GIRS,SARP
WP_003951791.1,0.9996,XNR_RS02740,XNR_RS02740,"GntR,UTRA",657813,658577,-,GntR family transcriptional regulator,Transcription,Op412,GntR,N6,OG0000070,2GJZ1,
WP_202475095.1,0.9979,XNR_RS25990,XNR_RS25990,"Aminotran_1_2,GntR",5951324,5952811,+,PLP-dependent aminotransferase family protein,Amino acid transport and metabolism,Op3924,GntR,N6,OG0006653,2GITW,
WP_010636502.1,0.9796,XNR_RS26905,XNR_RS26905,"Aminotran_1_2,GntR",6135278,6136804,+,PLP-dependent aminotransferase family protein,Amino acid transport and metabolism,Op4052,GntR,N6,OG0006327,2GITW,
WP_003948383.1,0.9543,XNR_RS19755,XNR_RS19755,"DJ-1_PfpI,HTH_18,HTH_AraC",4534634,4535572,+,helix-turn-helix domain-containing protein,Transcription,Op2980,AraC,N6,OG0000074,2GIRA,
WP_003950610.1,0.9259,XNR_RS08610,XNR_RS08610,"DJ-1_PfpI,HTH_18",2055512,2056504,-,helix-turn-helix domain-containing protein,Transcription,Op1272,HTH,N6,OG0000074,2GIRA,
WP_003947021.1,0.9994,XNR_RS26635,rpoZ,RNA_pol_Rpb6,6077155,6077427,+,DNA-directed RNA polymerase subunit omega,Transcription,Op4010,RpoA,N6,OG0000865,2IQHU,
WP_003950085.1,0.9992,XNR_RS11245,ideR,"Fe_dep_repr_C,Fe_dep_repress,FeoA",2647473,2648165,-,metal-dependent transcriptional regulator,Transcription,Op1685,DtxR,N1,OG0001116,2GKMC,
WP_003947991.1,0.9971,XNR_RS21700,hrcA,"HTH_DeoR,HrcA",4994687,4995703,+,heat-inducible transcriptional repressor HrcA,Transcription,Op3285,HrcA,N6,OG0002695,2GKF5,
WP_003949606.1,0.9888,XNR_RS13710,XNR_RS13710,"FCD,GntR",3144481,3145173,-,GntR family transcriptional regulator,Transcription,Op2059,GntR,N6,OG0005955,2GNMS,
WP_003950390.1,0.9998,XNR_RS09735,vicR,"Response_reg,Trans_reg_C",2316307,2316984,-,response regulator transcription factor,Signal transduction mechanisms,Op1442,OmpR,N6,OG0000177,2GP1I,
WP_003949200.1,0.9866,XNR_RS15745,hspR,MerR_1,3623520,3623987,+,helix-turn-helix domain-containing protein,Transcription,Op2372,MerR,N4,OG0003500,2IQJ4,
WP_010640467.1,0.9988,XNR_RS00790,XNR_RS00790,"LacI,Peripla_BP_3",195770,196801,+,LacI family DNA-binding transcriptional regulator,Transcription,Op127,LacI,N0,OG0000010,2GJRG,
WP_003951309.1,0.9962,XNR_RS05125,XNR_RS05125,"LacI,Peripla_BP_3",1235735,1236760,-,LacI family DNA-binding transcriptional regulator,Transcription,Op751,LacI,N6,OG0001673,2GJRG,
WP_003950710.1,0.9888,XNR_RS08110,XNR_RS08110,TetR_N,1943025,1943666,+,TetR/AcrR family transcriptional regulator,Transcription,Op1192,TetR,N4,OG0000189,2GVM5,
WP_003949381.1,0.9703,XNR_RS14875,parB,ParBc,3410461,3411465,-,ParB/RepB/Spo0J family partition protein,Transcription,Op2236,ParB/RepB/Spo0J,N6,OG0000841,2GNRN,
WP_015508050.1,0.6877,XNR_RS24160,fdhF,"Molybdopterin,Molydop_binding",5548195,5550471,-,FdhF/YdeP family oxidoreductase,Energy production and conversion,Op3652,FdhF,N6,OG0000588,2GJWZ,
WP_003948570.1,0.9956,XNR_RS18840,XNR_RS18840,"HTH_1,LysR_substrate",4320475,4321371,+,LysR family transcriptional regulator,Transcription,Op2832,LysR,N6,OG0000273,2GKT0,
WP_041826617.1,0.9887,XNR_RS26760,XNR_RS26760,"HTH_1,LysR_substrate",6104532,6105440,-,LysR family transcriptional regulator,Transcription,Op4032,LysR,N6,OG0000273,2GKT0,
WP_015506870.1,0.9669,XNR_RS03265,XNR_RS03265,"FCD,GntR",776663,777418,-,GntR family transcriptional regulator,Transcription,Op493,GntR,N2,OG0000024,2GMJX,
WP_008408824.1,0.9621,XNR_RS25730,pafC,WYL,5894209,5895171,+,WYL domain-containing protein,Transcription,Op3886,WYL,N4,OG0003631,2GMAU,
WP_015507630.1,0.9959,XNR_RS16555,XNR_RS16555,FUR,3780647,3781090,+,Fur family transcriptional regulator,Inorganic ion transport and metabolism,Op2503,Fur,N0,OG0000247,2IFHB,
WP_008410337.1,0.9997,XNR_RS12755,regX3,"Response_reg,Trans_reg_C",2946506,2947186,-,response regulator transcription factor,Signal transduction mechanisms,Op1906,OmpR,N4,OG0000006,2GKFS,
WP_008417548.1,0.7522,XNR_RS27090,merR2,MerR_1,6179445,6180080,+,MerR family transcriptional regulator,Transcription,Op4078,MerR,N4,OG0003605,2GM67,
WP_003950109.1,0.6048,XNR_RS11115,XNR_RS11115,TetR_N,2619407,2620054,+,TetR family transcriptional regulator,Transcription,Op1662,TetR,N6,OG0006007,2GK0V,
WP_008415410.1,0.9988,XNR_RS16740,XNR_RS16740,HTH_3,3819531,3819941,+,helix-turn-helix transcriptional regulator,Transcription,Op2533,HTH,N6,OG0001973,2IKVI,
WP_003949564.1,0.5667,XNR_RS13920,XNR_RS13920,TetR_N,3192010,3192753,+,TetR/AcrR family transcriptional regulator,Transcription,Op2088,TetR,N6,OG0005948,2GM0B,
WP_003949326.1,0.997,XNR_RS15135,XNR_RS15135,TetR_N,3467505,3468206,+,TetR/AcrR family transcriptional regulator,Transcription,Op2274,TetR,N6,OG0005919,2GJZJ,
WP_078485278.1,0.9952,XNR_RS19885,XNR_RS19885,"DeoRC,HTH_DeoR",4557995,4558993,+,DeoR/GlpR family DNA-binding transcription regulator,Transcription,Op3002,Deor,N6,OG0000093,2GISD,
WP_015507792.1,0.9946,XNR_RS19740,XNR_RS19740,"HTH_1,LysR_substrate",4532351,4533376,+,LysR family transcriptional regulator,Transcription,Op2977,LysR,N6,OG0001934,2GTX3,
WP_003947201.1,0.5689,XNR_RS25700,XNR_RS25700,"LacI,Peripla_BP_3",5887655,5888671,-,LacI family DNA-binding transcriptional regulator,Transcription,Op3882,LacI,N6,OG0005710,2GMUU,
WP_003947274.1,0.9936,XNR_RS25330,XNR_RS25330,"GntR,UTRA",5808614,5809360,-,GntR family transcriptional regulator,Transcription,Op3820,GntR,N6,OG0005718,2GJ99,
WP_003947374.1,0.9988,XNR_RS24815,XNR_RS24815,"FCD,GntR",5691463,5692146,-,FadR/GntR family transcriptional regulator,Transcription,Op3742,GntR,N2,OG0000055,2GMTJ,
WP_003947677.1,0.9492,XNR_RS23275,XNR_RS23275,"FCD,GntR",5344294,5344917,-,GntR family transcriptional regulator,Transcription,Op3527,GntR,N6,OG0000024,2GJRM,
WP_003949307.1,0.9996,XNR_RS15230,XNR_RS15230,"FCD,GntR",3489877,3490545,+,GntR family transcriptional regulator,Transcription,Op2286,GntR,Sal,OG0000024,2GMI2,
WP_003948132.1,0.9556,XNR_RS21010,XNR_RS21010,"FCD,GntR",4814634,4815293,+,GntR family transcriptional regulator,Transcription,Op3179,GntR,Sal,OG0000024,2GMI2,
WP_003947597.1,0.5076,XNR_RS23665,XNR_RS23665,TetR_N,5431941,5432561,-,TetR/AcrR family transcriptional regulator,Transcription,Op3589,TetR,N2,OG0000018,2GJBV,
WP_015508117.1,0.9361,XNR_RS25370,XNR_RS25370,TetR_N,5816908,5817585,+,TetR/AcrR family transcriptional regulator,Transcription,Op3827,TetR,N6,OG0004152,2GMNZ,
WP_003946841.1,0.9983,XNR_RS27505,XNR_RS27505,"GntR,UTRA",6265376,6266134,+,GntR family transcriptional regulator,Transcription,Op4151,GntR,N6,OG0005674,2GK0S,
WP_003952266.1,0.9554,XNR_RS00395,XNR_RS00395,"LacI,Peripla_BP_3",102041,103081,+,LacI family DNA-binding transcriptional regulator,Transcription,Op68,LacI,N2,OG0000010,2GMGS,
WP_015508118.1,0.9927,XNR_RS25380,soxR,"MerR,MerR-DNA-bind",5818260,5818724,+,redox-sensitive transcriptional activator SoxR,Transcription,Op3829,MerR,N6,OG0000834,2GKTU,"Regulator of a global oxidative stress response. Controls a putative ABC transport protein, two oxidoreductases, a monooxygenase and a possible NAD-dependent epimerase/dehydratase in coelicolor."
WP_003950208.1,0.7233,XNR_RS10660,XNR_RS10660,TetR_N,2523228,2523875,-,TetR/AcrR family transcriptional regulator,Transcription,Op1586,TetR,N6,OG0000113,2GIVD,
WP_008414245.1,0.5879,XNR_RS21270,XNR_RS21270,"HTH_1,LysR_substrate",4884955,4885866,+,LysR family transcriptional regulator,Transcription,Op3215,LysR,N6,OG0000273,2GNFT,
WP_003946904.1,0.9889,XNR_RS27185,XNR_RS27185,"HTH_1,LysR_substrate",6200862,6201767,+,LysR family transcriptional regulator,Transcription,Op4097,LysR,N6,OG0000273,2GM99,
WP_003950623.1,0.6263,XNR_RS08545,XNR_RS08545,"TetR_C_11,TetR_N",2043372,2043983,-,TetR/AcrR family transcriptional regulator,Transcription,Op1262,TetR,N6,OG0001422,2GNK4,
WP_003948301.1,0.9987,XNR_RS20150,XNR_RS20150,"HTH_IclR,IclR",4616424,4617212,+,IclR family transcriptional regulator,Transcription,Op3050,IclR,N6,OG0000033,2GM23,
WP_010642163.1,0.9935,XNR_RS06965,XNR_RS06965,"HTH_11,HTH_IclR,Response_reg",1681375,1682115,+,response regulator,Signal transduction mechanisms,Op1027,IclR,N6,OG0000473,2GMAN,
WP_003949752.1,0.9924,XNR_RS12960,XNR_RS12960,"HTH_IclR,IclR",2979447,2980247,+,IclR family transcriptional regulator,Transcription,Op1933,IclR,N2,OG0000033,2GM23,
WP_054099554.1,0.8665,XNR_RS03135,XNR_RS03135,HTH_22,747302,747613,-,helix-turn-helix domain-containing protein,Function unknown,Op474,HTH,N6,OG0006639,2IHSD,
WP_003947707.1,0.6026,XNR_RS23120,cobH,CbiC,5308734,5309360,+,precorrin-8X methylmutase,Coenzyme transport and metabolism,Op3504,CbiC,N6,OG0001618,2GK0B,
WP_003949966.1,0.9852,XNR_RS11830,XNR_RS11830,"HTH_6,SIS",2776915,2777838,+,MurR/RpiR family transcriptional regulator,Transcription,Op1773,MurR,N2,OG0000206,2HY2W,
WP_015506997.1,0.669,XNR_RS05450,XNR_RS05450,"AraC_binding,HTH_18",1312811,1313674,-,AraC family transcriptional regulator,Transcription,Op806,AraC,N2,OG0000073,2GNEB,
WP_003950079.1,0.9934,XNR_RS11275,XNR_RS11275,TetR_N,2655028,2655606,-,TetR/AcrR family transcriptional regulator,Transcription,Op1691,TetR,N2,OG0000018,2GMVQ,
WP_015507980.1,0.9788,XNR_RS22945,XNR_RS22945,TetR_N,5258455,5259078,-,TetR/AcrR family transcriptional regulator,Transcription,Op3474,TetR,N6,OG0004109,2HG87,
WP_031177605.1,0.6195,XNR_RS04505,XNR_RS04505,HTH_31,1074146,1075033,+,helix-turn-helix transcriptional regulator,Transcription,Op674,HTH,N6,OG0000240,2GJS3,
WP_003948883.1,0.9996,XNR_RS17290,cseB,"Response_reg,Trans_reg_C",4002597,4003316,-,response regulator transcription factor,Signal transduction mechanisms,Op2625,OmpR,N6,OG0000006,2GNQH,
WP_003951250.1,0.9781,XNR_RS05415,XNR_RS05415,"HTH_1,LysR_substrate",1307810,1308754,+,LysR family transcriptional regulator,Transcription,Op802,LysR,N6,OG0004069,2GJFG,
WP_003950496.1,0.9415,XNR_RS09195,XNR_RS09195,"HTH_1,LysR_substrate",2176210,2177172,-,LysR family transcriptional regulator,Transcription,Op1361,LysR,N6,OG0006040,2GJFG,
WP_008415202.1,0.9875,XNR_RS22190,XNR_RS22190,"HTH_11,HTH_IclR,Response_reg",5096505,5097194,+,response regulator,Signal transduction mechanisms,Op3346,IclR,N6,OG0000473,2GK16,
WP_008412497.1,0.996,XNR_RS26170,XNR_RS26170,TetR_N,5986522,5987070,+,TetR/AcrR family transcriptional regulator,Transcription,Op3953,TetR,N6,OG0002066,2HAUK,
WP_003947238.1,0.9604,XNR_RS25510,XNR_RS25510,"FCD,GntR",5845491,5846216,+,FCD domain-containing protein,Transcription,Op3848,GntR,N6,OG0001590,2GKBM,
WP_003950376.1,0.9946,XNR_RS09805,XNR_RS09805,"LacI,Peripla_BP_3",2334433,2335449,+,LacI family DNA-binding transcriptional regulator,Transcription,Op1453,LacI,N6,OG0000010,2GJV7,
WP_003948475.1,0.99,XNR_RS19300,XNR_RS19300,"LacI,Peripla_BP_3",4430719,4431828,-,LacI family DNA-binding transcriptional regulator,Transcription,Op2913,LacI,N6,OG0000010,2GJV7,
WP_003952281.1,0.9991,XNR_RS00320,XNR_RS00320,"DeoRC,HTH_DeoR",85637,86443,+,DeoR/GlpR family DNA-binding transcription regulator,Transcription,Op55,DeoR,N6,OG0000093,2H5X4,
WP_003947738.1,0.9409,XNR_RS22970,XNR_RS22970,"TetR_C,TetR_N",5266264,5266878,-,TetR/AcrR family transcriptional regulator C-terminal domain-containing protein,Transcription,Op3479,TetR,unknown,OG0003970,2GNBI,
WP_003949591.1,0.9998,XNR_RS13780,senR,"GerE,Response_reg",3157650,3158309,+,response regulator transcription factor,Signal transduction mechanisms,Op2071,GerE,N6,OG0000003,2GJRY,
WP_015508003.1,,XNR_RS23180,XNR_RS23180,TetR_N,5322199,5322873,+,ScbR family autoregulator-binding transcription factor,Transcription,Op3512,TetR,N2,OG0000018,2I8MS,Autoregulatory Activates scbA expression
WP_003948866.1,0.8836,XNR_RS17370,XNR_RS17370,TetR_N,4018698,4019336,+,TetR family transcriptional regulator,Transcription,Op2639,TetR,N6,OG0002003,2GP92,
WP_003951034.1,0.5128,XNR_RS06515,XNR_RS06515,TetR_N,1565030,1565668,+,helix-turn-helix domain containing protein,Transcription,Op960,TetR,N4,OG0000189,2GNVS,
WP_003951455.1,0.9663,XNR_RS04420,XNR_RS04420,"TetR_C_6,TetR_N",1055221,1055814,-,TetR family transcriptional regulator,Transcription,Op665,TetR,N2,OG0000112,2HUE7,
WP_008409330.1,0.9846,XNR_RS07220,chiR,"GerE,Response_reg",1735093,1735740,+,response regulator transcription factor,Signal transduction mechanisms,Op1064,GerE,N6,OG0000003,2GN3A,
WP_041826586.1,0.989,XNR_RS05785,xylR,"HTH_IclR,MarR_2,ROK",1402232,1403473,-,ROK family transcriptional regulator,Carbohydrate transport and metabolism,Op852,ROK,N6,OG0004164,2GJIE,
WP_003951462.1,0.9741,XNR_RS04375,XNR_RS04375,"HTH_20,HTH_5",1041855,1042835,+,winged helix-turn-helix domain-containing protein,Transcription,Op657,HTH,N6,OG0001664,2GPH2,
WP_003951952.1,0.9987,XNR_RS01975,XNR_RS01975,"HTH_1,LysR_substrate",481047,481928,+,LysR substrate-binding domain-containing protein,Transcription,Op302,LysR,N6,OG0000110,2GNAH,
WP_003949076.1,0.9991,XNR_RS16365,XNR_RS16365,GntR,3742406,3742795,-,GntR family transcriptional regulator,Transcription,Op2475,GntR,Sal,OG0000285,2IHTD,
WP_003948830.1,0.7862,XNR_RS17535,XNR_RS17535,HTH_31,4054301,4055623,+,helix-turn-helix transcriptional regulator,Transcription,Op2663,HTH,N6,OG0004017,2GKH2,
WP_003951642.1,0.6808,XNR_RS03460,XNR_RS03460,HTH_18,824168,824914,-,helix-turn-helix transcriptional regulator,Transcription,Op528,HTH,Sal,OG0002796,2GWDZ,
WP_003952242.1,0.9742,XNR_RS00515,XNR_RS00515,HTH_20,125065,125406,-,helix-turn-helix domain-containing protein,Transcription,Op89,HTH,N6,OG0002106,2IKW0,
WP_003951238.1,0.9017,XNR_RS05470,XNR_RS05470,"TetR_N,WHG",1320421,1320993,+,TetR/AcrR family transcriptional regulator,Transcription,Op810,TetR,N6,OG0001608,2I31S,
WP_015506860.1,0.9864,XNR_RS03065,XNR_RS03065,"LacI,Peripla_BP_3",732541,733572,+,LacI family DNA-binding transcriptional regulator,Transcription,Op461,LacI,N6,OG0006166,2GJY9,
WP_003951729.1,0.964,XNR_RS03050,XNR_RS03050,"LacI,Peripla_BP_3",729578,730645,-,LacI family DNA-binding transcriptional regulator,Transcription,Op458,LacI,unknown,OG0006166,2GJY9,
WP_003948971.1,0.9379,XNR_RS16875,XNR_RS16875,Penicillinase_R,3847754,3848149,+,BlaI/MecI/CopY family transcriptional regulator,Transcription,Op2557,BlaI/MecI/CopY,N6,OG0004023,2IKP5,
WP_003951977.1,0.9976,XNR_RS01845,XNR_RS01845,"LacI,Peripla_BP_3",450892,451926,-,LacI family DNA-binding transcriptional regulator,Transcription,Op286,LacI,N2,OG0000010,2GNVD,
WP_003951405.1,0.9936,XNR_RS04655,XNR_RS04655,HTH_30,1104309,1105520,+,helix-turn-helix domain-containing protein,"Secondary metabolites biosynthesis, transport and catabolism",Op689,HTH,N6,OG0006133,2GR38,
WP_003947140.1,0.982,XNR_RS26015,XNR_RS26015,TetR_N,5956132,5956728,+,TetR/AcrR family transcriptional regulator,Transcription,Op3928,TetR,Sal,OG0000113,2IMN4,
WP_008411123.1,0.9671,XNR_RS19890,XNR_RS19890,TetR_N,4559027,4559602,-,TetR/AcrR family transcriptional regulator,Transcription,Op3003,TetR,Sal,OG0000113,2IMN4,
WP_015506983.1,0.9951,XNR_RS05150,XNR_RS05150,TetR_N,1242239,1242877,-,TetR/AcrR family transcriptional regulator,Transcription,Op755,TetR,N6,OG0000830,2HMTE,
WP_003949697.1,0.9993,XNR_RS13230,XNR_RS13230,"Cupin_6,HTH_18",3029058,3029999,-,AraC family transcriptional regulator,Transcription,Op1979,AraC,N6,OG0000518,2GK7Q,
WP_015506932.1,0.9965,XNR_RS04345,XNR_RS04345,HTH_20,1033820,1034548,-,winged helix-turn-helix domain-containing protein,Transcription,Op651,HTH,N2,OG0003825,2GTPG,
WP_235208941.1,0.9852,XNR_RS00670,XNR_RS00670,"AraC_binding,HTH_18",164897,165766,-,AraC family transcriptional regulator,Transcription,Op114,AraC,Sal,OG0000088,2GJYX,
WP_015507819.1,0.9473,XNR_RS20190,XNR_RS20190,"AraC_binding,HTH_18",4625341,4626111,+,helix-turn-helix transcriptional regulator,Transcription,Op3056,AraC,Sal,OG0000088,2GJYX,
WP_003951903.1,0.5941,XNR_RS02210,XNR_RS02210,"AraC_binding,HTH_18",535064,535837,+,AraC family transcriptional regulator,Transcription,Op342,AraC,Sal,OG0000088,2GJYX,
WP_003950541.1,0.9969,XNR_RS08965,XNR_RS08965,HTH_20,2128674,2129330,+,helix-turn-helix domain-containing protein,Transcription,Op1329,HTH,Sal,OG0002077,2IQKG,
WP_003949058.1,0.9963,XNR_RS16440,XNR_RS16440,"LacI,Peripla_BP_1,Peripla_BP_3",3757036,3758079,-,LacI family DNA-binding transcriptional regulator,Transcription,Op2487,LacI,N0,OG0000010,2GK1X,
WP_003950405.1,0.6121,XNR_RS09655,XNR_RS09655,HTH_31,2301372,2302220,-,helix-turn-helix transcriptional regulator,Transcription,Op1428,HTH,Sal,OG0002821,2GK3V,
WP_008410051.1,0.7565,XNR_RS28440,XNR_RS28440,HTH_26,6467911,6468144,-,helix-turn-helix transcriptional regulator,Transcription,Op4289,HTH,Sal,OG0001647,2GQZM,
WP_049978650.1,0.9133,XNR_RS13260,XNR_RS13260,TetR_N,3036916,3037677,-,TetR/AcrR family transcriptional regulator,Transcription,Op1985,TetR,Sal,OG0001339,2IE3D,
WP_003947258.1,0.9623,XNR_RS25410,XNR_RS25410,"TetR_C_11,TetR_N",5825320,5825964,-,TetR/AcrR family transcriptional regulator,Transcription,Op3834,TetR,N6,OG0001036,2GP08,
WP_015507071.1,0.9964,XNR_RS06790,XNR_RS06790,"HTH_1,LysR_substrate",1634317,1635312,+,LysR family transcriptional regulator,Transcription,Op997,LysR,N1,OG0000102,2GMDN,
WP_003950087.1,0.9375,XNR_RS11235,XNR_RS11235,"TetR_N,WHG",2644662,2645240,+,TetR/AcrR family transcriptional regulator,Transcription,Op1683,TetR,N6,OG0001980,2HMZF,
WP_008404051.1,0.9963,XNR_RS11330,XNR_RS11330,"HTH_1,LysR_substrate",2667641,2668519,+,LysR family transcriptional regulator,Transcription,Op1697,LysR,N2,OG0000011,2I8Y8,
WP_003951637.1,0.901,XNR_RS03480,XNR_RS03480,TetR_N,829703,830278,+,TetR/AcrR family transcriptional regulator,Transcription,Op531,TetR,N6,OG0000359,2ICWK,
WP_003948653.1,0.9017,XNR_RS18420,XNR_RS18420,"HTH_Crp_2,cNMP_binding",4252174,4252869,-,Crp/Fnr family transcriptional regulator,Transcription,Op2779,Crp-Fnr,N6,OG0000648,2I8QQ,
WP_003949113.1,0.937,XNR_RS16175,XNR_RS16175,"TetR_N,WHG",3709272,3709868,-,TetR/AcrR family transcriptional regulator,Transcription,Op2445,TetR,Sal,OG0001667,2IMN5,
WP_003952193.1,0.9201,XNR_RS00750,XNR_RS00750,"TetR_N,WHG",185872,186471,+,TetR/AcrR family transcriptional regulator,Transcription,Op123,TetR,Sal,OG0001667,2IMN5,
WP_003951855.1,0.8171,XNR_RS02445,XNR_RS02445,HTH_18,585311,586150,-,helix-turn-helix domain-containing protein,Transcription,Op375,HTH,Sal,OG0002796,2GK7C,
WP_003949104.1,,XNR_RS16220,XNR_RS16220,"BTAD,Trans_reg_C",3717856,3719886,+,AfsR/SARP family transcriptional regulator,Transcription,Op2454,SARP,N6,OG0005901,2I2QB,SARP
WP_015507907.1,0.6909,XNR_RS21770,XNR_RS21770,TetR_N,5011243,5011908,+,TetR/AcrR family transcriptional regulator,Transcription,Op3295,TetR,N6,OG0000113,2HM1H,
WP_003947982.1,0.9985,XNR_RS21745,XNR_RS21745,"FCD,GntR",5005773,5006456,+,GntR family transcriptional regulator,Transcription,Op3291,GntR,N6,OG0000024,2I8SM,
WP_037629979.1,0.8508,XNR_RS09050,XNR_RS09050,HTH_31,2140353,2141183,-,helix-turn-helix transcriptional regulator,Transcription,Op1341,HTH,Sal,OG0000210,2GNSP,
WP_003948976.1,0.898,XNR_RS16850,XNR_RS16850,"FCD,GntR",3842744,3843406,+,GntR family transcriptional regulator,Transcription,Op2553,GntR,N2,OG0000024,2IBT4,
WP_003949721.1,0.9963,XNR_RS13115,XNR_RS13115,"FCD,GntR",3006969,3007676,-,FadR/GntR family transcriptional regulator,Transcription,Op1961,GntR,N2,OG0000055,2I91R,
WP_003951509.1,0.9993,XNR_RS04130,XNR_RS04130,"FCD,GntR",982321,983064,-,FCD domain-containing protein,Transcription,Op619,GntR,N2,OG0000055,2GZJA,
WP_003949302.1,0.6322,XNR_RS15255,XNR_RS15255,"HTH_31,TPR_16",3494676,3495890,+,helix-turn-helix transcriptional regulator,Transcription,Op2290,HTH,unknown,,2GP3T,
WP_015507085.1,0.8856,XNR_RS06950,XNR_RS06950,TetR_N,1677296,1677874,+,TetR/AcrR family transcriptional regulator,Transcription,Op1024,TetR,N6,OG0000113,2HGMJ,
WP_003947134.1,0.9981,XNR_RS26045,XNR_RS26045,TetR_N,5962360,5962941,+,TetR/AcrR family transcriptional regulator,Transcription,Op3934,TetR,N6,OG0003974,2GN7W,
WP_003951824.1,0.5867,XNR_RS02605,XNR_RS02605,"HTH_1,LysR_substrate",624516,625460,+,LysR family transcriptional regulator,Transcription,Op397,LysR,N2,OG0000011,2GRT9,
WP_015508217.1,0.999,XNR_RS27350,iciA,"HTH_1,LysR_substrate",6234897,6235808,+,LysR family transcriptional regulator ArgP,Transcription,Op4124,LysR,N6,OG0001189,2GJEC,
WP_003947147.1,0.8682,XNR_RS25970,mmpLR,TetR_N,5947192,5947839,-,helix-turn-helix domain containing protein,Transcription,Op3920,TetR,N6,OG0005705,2I9KE,Lipid transport and lipid metabolism
WP_003946681.1,0.9805,XNR_RS28305,XNR_RS28305,MarR,6432283,6432738,+,MarR family transcriptional regulator,Transcription,Op4274,MarR,Sal,OG0000237,2HGXY,
WP_003947425.1,0.9993,XNR_RS24550,XNR_RS24550,"MarR,MarR_2",5637527,5638039,-,MarR family winged helix-turn-helix transcriptional regulator,Transcription,Op3706,MarR,Sal,OG0001982,2IIW6,
WP_010640768.1,0.9206,XNR_RS01730,XNR_RS01730,"MarR,MarR_2",427119,427667,+,MarR family transcriptional regulator,Transcription,Op278,MarR,N6,OG0001122,2IG38,
WP_015508338.1,0.9908,XNR_RS29245,XNR_RS29245,"AAA_16,GerE,TPR_19",6771797,6774718,+,AAA family ATPase,Transcription,Op4400,GerE,N6,OG0002880,2GJAR,
WP_003946768.1,,XNR_RS27870,XNR_RS27870,"CHASE3,HAMP,HATPase_c,HisKA",6342864,6344495,+,sensor histidine kinase,Signal transduction mechanisms,Op4207,HPK,N6,OG0005668,2GK25,Antismash regulatory
WP_015508342.1,,XNR_RS29280,XNR_RS29280,"AAA_16,DZR,Guanylate_cyc",6783488,6786634,+,adenylate/guanylate cyclase domain-containing protein,Signal transduction mechanisms,Op4405,DZR,N6,OG0000552,2GJRI,Antismash regulatory
WP_015508339.1,,XNR_RS29250,XNR_RS29250,"BTAD,NB-ARC,Trans_reg_C",6774873,6776675,+,BTAD domain-containing putative transcriptional regulator,Signal transduction mechanisms,Op4401,AfsR,Sal,OG0001370,2GNEV,Antismash regulatory
